Name,Artist,Longitude,Latitude,Description
Overture #24,Jeff Demetriou,-84.39163833,33.76097167,"Complete in 2012, Overture #24 wraps around a full block. 

From the plaque: ""An overture is defined as an introductory event, action, or composition that precedes the more important or principal matter to follow. Similarly, this mural is part of a continuing series of 'Overture' works that are intended to be an introduction of sorts to a different way of perceiving our role and impact upon the world around us.""

The series deals primarily with concepts surrounding the idea of nature as being a single sentient entity that possess the ability to have both imaginative and abstract reflections on its own 'reality', as well as simultaneously having the ability to be completely analytical and empirically evaluative; attributes that are inherently contradictory to nature itself.

In many respects, the series functions as a mirror, reflecting viewers' own fears, dreams, conditioning, ideals, etc. back at them. The varied interpretations and experiences of the work that follow speak more so about viewers’ interaction with the work, as well as the headspace they're in, rather than the work itself...which is entirely intended and welcomed."
Baron Pierre de Coubertin,Raymond Kaskey,-84.39351667,33.76041667,"Created for the 1996 Olympic Games, this statue honors Baron Pierre de Coubertin, who was responsible for reviving the Games in 1896. A plaque on the statue holds a quote by Coubertin: ""The most important thing in the Olympic Games is not winning but taking part; the essential thing in life is not conquering but fighting well."""
Unknown Title,Unknown Artist,-84.36463833,33.75816333,Art on the Beltline
Unknown Title,Unknown Artist,-84.364205,33.75930833,Art on the Beltline
Unknown Title,Unknown Artist,-84.44540333,33.75332,West Lake MARTA Station
Lift,Andrew T. Crawford,-84.38643667,33.78156333,This sculpture is a tribute to the growth and development of Midtown Atlanta and serves as a monument to the city's economic and cultural success. Made possible by: the Federal Reserve Bank of Atlanta; Millennium in Midtown and Holder Properties
Unknown Title,Unknown Artist,-84.30542,33.804825,Birdhouses on the PATH between Medlock and Mason Mill parks.
Unknown Title,Michelle Angela Ortiz,-84.32666167,33.84391167,Living Walls 2017
Unknown Title,Sanithna Phansavanh,-84.31635333,33.85384667,Living Walls 2017
Unknown Title,Jess x Snow,-84.30448,33.865095,Living Walls 2017
Unknown Title,Yehimi Cambrón,-84.34052167,33.83263833,Living Walls 2017
Unknown Title,Roberto Hernandez,-84.33055833,33.84183667,Living Walls 2017
Unknown Title,Chip Thomas ,-84.334725,33.83703667,Living Walls 2017
Unknown Title,Dianna Settles,-84.32699667,33.84325,Living Walls 2017
Unknown Title,Unknown Artist,-84.384575,33.78997833,Across from the Woodruff Arts Center
House III,Roy Lichtenstein ,-84.38535333,33.78985333,House III sits on the piazza of the Woodruff Arts Center. It was purchased with funds from John Wieland Homes and Neighborhoods in honor of its company members.
The Shade,Auguste Rodin,-84.38507,33.78983,"Gift from the French Government to Robert W. Woodruff Arts Center, October 5, 1968. The Shade was given in memory of one hundred twenty-two Atlanta Art Association members who lost their lives in a plane crash at Orly Field, Paris on June 3, 1962"
Unknown Title,Unknown Artist,-84.38516167,33.78958833,Piano
Red (River Queen),Tal Streeter,-84.384575,33.78872167,Red (River Queen) (1973) sits on a hillside above the Woodruff Arts Center's circular drive. It was a gift of Esther and Herbert Taylor.
Stealth,Tristan Al-Haddad,-84.38500333,33.787995,"The work was commissioned by Cousins Properties for Promenade II, across 15th Street from the Woodruff Arts Center at 1230 Peachtree Street."
Atlanta Mayors Office of Cultural Affairs Utility Box,Adam Crawford,-84.38866333,33.750075,"Atlanta Mayors Office of Cultural Affairs Utility Box
2' x 3' x 2'

Georgia State Capitol, GA

2017

www.theartofadamcrawford.com"
Unknown Title,Yoyo Ferro,-84.33853833,33.84436167,Living Walls 2017 at Cross Keys High School
Trilon,Steffen Thomas,-84.383575,33.78838667,"Sitting at the corner of 15th Street and Peachtree across from the Woodruff Arts Center, Trilon was created by Steffen Thomas in 1960 and erected on this site in 1975.

The Steffen Thomas museum is in Madison, Georgia.

https://steffenthomas.org/"
Hosea Williams,Fabian Wiiliams,-84.36657,33.75443667,For more about artist Fabian Williams: http://occasionalsuperstar.com/
Unknown Title,Unknown ,-84.38577418,33.76019579,Artwork located in the parking area opposite Gibney’s.
Unknown Title,Unknown Artist,-84.39142,33.75316667,"Part of ELEVATE, a program of the Mayor's Office of Cultural Affairs designed to activate downtown Atlanta through public art. 

http://www.ocaatlanta.com/?programs=elevate"
Unknown Title,Unknown Artist,-84.391455,33.75290333,"Part of ELEVATE, a program of the Mayor's Office of Cultural Affairs designed to activate downtown Atlanta through public art. 

http://www.ocaatlanta.com/?programs=elevate"
Unknown Title,Unknown Artist,-84.39234167,33.75200333,Elevate
The Phoenix,Francesco Somaini,-84.39093,33.754405,Presented to the City of Atlanta by the First National Bank of Atlanta. 1981
Unknown Title,Krista Jones,-84.39202833,33.75191333,For more about the artist: www.jonesyartatl.com
In Solidarity,Multiple Artists ,-84.37284167,33.75444167,"Artists: Lela Brunet, Jessica Caldas, Angela Davis Johnson, Jonesey"
Unknown Title,Nychos,-84.372025,33.75417833,On the side of The Sound Table on the corner of Edgewood and Boulevard. This piece is part of the Outerspace Project.
Unknown Title,AnnaLysa Kimball,-84.519975,34.10066667,This mural in downtown Woodstock is still in progress but will be the fourth mural produced as part of the ARC's Regional Public Art Program.
